网站,文章,页,状态,实际从,实际到,备注
Fox电子资源,《多核计算与程序设计》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目，周伟明
Fox电子资源,《OpenSSL与网络信息、安全、基础、结构和指令》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目，王志海
网址收集,http://www.SimWe.com,-,Study,2013/3/25 12:00,2013/3/25 12:00,仿真网址论坛
新概念,微粒群优化、调度算法,-,Study,2013/3/25 12:00,2013/3/25 12:00,
Fox电子资源,《Java数值计算算法编程》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《C#数值计算编程》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《公钥密码快速算法与实现技术》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《群智能算法及其应用》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《蚁群算法及其应用》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《道路收费系统的优化模型及算法、路网收费率、收费道路及收费系统的优化》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《网络存储导论》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《高速公路联网收费系统及其应用》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《NS网络模拟和协议仿真》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《井巷网络火灾特性及计算机模拟》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《管理系统模拟》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《深入浅出ExtJs》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目，徐会生
Fox电子资源,《NS2网络模拟器的原理与应用》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《模拟公司教程》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《模拟银行实验》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《证券、期货、外汇模拟实验》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《SciLab/Scicos在建模与仿真中的应用》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《OPNET/Modeler网络建模与仿真》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《NS2与网络模拟》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《MEMS模拟与仿真系统应用》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《移动IP技术与NS-2模拟》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《管理运筹学》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《物流运筹学》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《管理运筹学和Matlab软件应用》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《软件自动化测试框架设计与实践》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《面向应用的仿真建模与分析：实用Extendsim》第2版,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
新概念,西南交大MBA入学考试科目（数学、英语、逻辑、写作）,-,Study,2013/3/25 12:00,2013/3/25 12:00,计划一下
益智录,宋蕙娘,-,Done,2013/4/17 0:00,2013/4/17 0:00,批：心诚意坚身至者几何？
益智录,顾道全,-,Done,2013/4/17 0:00,2013/4/17 0:00,批：终难脱功功名。
益智录,张清,-,Done,2013/4/17 0:00,2013/4/17 0:00,批：理通文迷。
益智录,金瑞,-,Done,2013/4/18 0:00,2013/4/18 0:00,批：狐功难掩刺人事。
洪宪宫闱艳史演义,第一编 总论,-,Done,2013/4/18 0:00,2013/4/18 0:00,有点意思
洪宪宫闱艳史演义,第二编 小白菜遇合之轶闻,-,Done,2013/4/18 0:00,2013/4/18 0:00,也算经历
洪宪宫闱艳史演义,第二编 高丽太太与小白菜争长之趣,-,Done,2013/4/18 0:00,2013/4/18 0:00,好个高丽婆姨
洪宪宫闱艳史演义,第二编 何妃艳史,-,Done,2013/4/18 0:00,2013/4/18 0:00,吹出个何妃
洪宪宫闱艳史演义,第二编 干儿购妾赠假父,,Done,2013/4/18 0:00,2013/4/18 0:00,干儿有条通天路
洪宪宫闱艳史演义,第二编 红红断颈刀头,,Done,2013/4/18 0:00,2013/4/18 0:00,男儿不忍况袁乎
洪宪宫闱艳史演义,第二编 洪述祖恃妹为奥援,,Done,2013/4/18 0:00,2013/4/20 16:09,真个女豺狼
中文维基,雅库茨克,-,Done,2013/4/20 0:00,2013/4/20 0:00,最冷城市出钻石
果壳,英美国家存款少，因为他们说英语？,-,Done,2013/4/20 0:00,2013/4/20 0:00,J-认知影响语言
果壳,掉色的食物一定是染色的吗？,-,Done,2013/4/20 0:00,2013/4/20 0:00,J-有的就是掉色
果壳,硅片上实现单原子核量子比特,-,Done,2013/4/20 0:00,2013/4/20 0:00,J-牛叉
果壳,大学如何吸引越来越挑剔的学生？,-,Done,2013/4/20 0:00,2013/4/20 0:00,J-进步影响教育
果壳,爆炸案之后，波士顿科技界怎样发挥作用？,-,Done,2013/4/20 0:00,2013/4/20 0:00,J-科技无处不在
果壳,温差发电机：不用电的“智能”风扇,-,Done,2013/4/20 0:00,2013/4/20 0:00,"帕耳帖效应,酷文"
果壳,聪明人为什么也会很愚蠢,-,Done,2013/4/20 0:00,2013/4/20 9:56,J-IQ与直觉
万方数据,NULL,,Done,2013/4/20 0:00,2013/4/20 0:00,J-数据知识服务平台
万方数据,PT:一种语言体验教学系统的工作方法,-,Done,2013/4/20 0:00,2013/4/20 0:00,CN102737536A
新技术,用PHP调用R语言实现统计,-,Done,2013/4/20 9:50,2013/4/20 9:50,J-发挥R特长，且可行
新概念,累计误差,-,Study,2013/4/20 10:01,2013/4/20 10:01,统计概念?
百度专利,PT:教室状态统计查询系统及其统计方法,8,Done,2013/4/20 10:01,2013/4/20 10:26,J-奇怪的应用
新技术,PHP加速器,-,Study,2013/4/20 10:59,2013/4/20 10:59,J-Cool
百度应用,门萨智商测试-Appid=151518,-,Done,2013/4/20 11:45,2013/4/20 11:45,IQ-130
DM5+UMei,"To-死神379, NO808-Jill-P17",-,Done,2013/4/20 12:30,2013/4/20 13:33,Umei今日更新
ITPUB,O'Reilly JavaScript Testing With Jasmine,-,Done,2013/4/20 13:34,2013/4/20 13:41,J-检视目录，用过类似工具
Fox电子资源,魔法记忆 快速记忆完全攻略,-,Done,2013/4/20 13:59,2013/4/20 14:31,J-检视目录，值得一读
Fox电子资源,全脑学习法,-,Done,2013/4/20 14:32,2013/4/20 14:56,J-检视目录，罗嗦
ITPUB,Programming the Mobile Web,-,Done,2013/4/20 14:57,2013/4/20 15:10,J-检视目录，要读
益智录,苏玉真,-,Done,2013/4/20 15:16,2013/4/20 15:20,J批-屁
益智录,义狼,-,Done,2013/4/20 15:21,2013/4/20 15:25,J批-恩大于义
益智录,姚五官,-,Done,2013/4/20 15:26,2013/4/20 15:32,J批-审慎之
益智录,瑞红,-,Done,2013/4/20 15:32,2013/4/20 15:44,J批-还是恩报?
益智录,贺举人,-,Done,2013/4/20 15:44,2013/4/20 15:47,J批-官场笑话
洪宪宫闱艳史演义,第二编 侍婢为姬妾,,Done,2013/4/20 16:10,2013/4/20 16:12,大小通吃
洪宪宫闱艳史演义,第二编 居丧纳妾,,Done,2013/4/20 16:13,2013/4/20 16:19,予温饱得美人，恶人亦可为
洪宪宫闱艳史演义,第二编 桂儿与贵儿,,Done,2013/4/20 16:20,2013/4/20 16:23,顺手带出贵儿
洪宪宫闱艳史演义,第二编 南极星帝两小星,,Done,2013/4/20 16:24,2013/4/20 16:28,荒唐，佩服
洪宪宫闱艳史演义,第二编 牺牲人命为红颜,,Done,2013/4/20 16:29,2013/4/20 16:34,枭雄善厚黑之道
洪宪宫闱艳史演义,第二编 女校长为女秘书之趣谈,,Done,2013/4/20 16:35,2013/4/20 16:38,秦楼用处不少
益智录,聂文焕,-,Done,2013/5/3 13:55,2013/5/3 14:02,J批-奇了
益智录,福德会馆,-,Done,2013/5/3 14:05,2013/5/3 14:21,J批-美狐为何?
益智录,杨彩云,-,Done,2013/5/3 14:21,2013/5/3 14:27,J批-言行泽人
洪宪宫闱艳史演义,阿香轶事,-,Done,2013/5/3 14:29,2013/5/3 14:39,报应
洪宪宫闱艳史演义,翠媛与洪姨之关系,-,Done,2013/5/3 14:40,2013/5/3 14:46,"大闷头, 但死得可惜"
洪宪宫闱艳史演义,候补姬妾之异闻,-,Done,2013/5/3 14:48,2013/5/3 14:52,内帐房，呵呵
洪宪宫闱艳史演义,洪宪太子与公主及皇,-,Done,2013/5/3 14:52,2013/5/3 15:25,克定逸闻
益智录,赵阁老,-,Done,2013/5/6 13:21,2013/5/6 13:26,阁老没脸皮
益智录,琼华岛,-,Done,2013/5/6 13:27,2013/5/6 13:35,论语治天下
益智录,杜仲,-,Done,2013/5/6 13:37,2013/5/6 13:52,无妄念
洪宪宫闱艳史演义,皇二子之历史及其文学与疏狂态度,-,Done,2013/5/6 13:54,2013/5/13 13:38,狂生情种
新技术,PyCUDA,-,Done,2013/5/11 14:24,2013/5/11 14:24,酷
益智录,隗士杰,-,Done,2013/5/13 12:59,2013/5/13 13:08,J批-扯
益智录,散花天女,-,Done,2013/5/13 13:09,2013/5/13 13:13,J批-孝直入世
益智录,狗冢坡,-,Done,2013/5/13 13:14,2013/5/13 13:15,J批-难得
益智录,节烈女,-,Done,2013/5/13 13:16,2013/5/13 13:19,J批-忠妇
洪宪宫闱艳史演义,袁诸子之历史及其行状,-,Done,2013/5/13 13:39,2013/5/13 13:43,J批-庸人多多
洪宪宫闱艳史演义,洪宪公主之韵事及艳史,-,,2013/5/13 13:44,-,J批-看过了记录丢失
RHCE,查询RHCE课程介绍,-,Done,2013/5/16 15:00,2013/5/16 17:30,腾科IT教育集团
InfoQ-CN,新闻-DB迁移后的检查原则,-,Done,2013/5/17 9:20,2013/5/17 9:40,整理到笔记
InfoQ-CN,新闻-Justin James谈高效开发者的特质,-,Done,2013/5/17 9:41,2013/5/17 9:41,几个特质要记录下来
InfoQ-CN,新闻-新书：《jQuery、jQuery UI 和 jQuery Mobile》,-,Done,2013/5/17 9:42,2013/5/17 9:42,itpub应该有
InfoQ-CN,服务虚拟化——Mocking的替代方案,-,Done,2013/5/24 9:22,2013/5/24 9:25,不算新问题
InfoQ-CN,从“PayPal将弃用VMware转向OpenStack”这则新闻看OpenStack的发展,-,Done,2013/5/24 9:27,2013/5/24 9:30,混合云；广告贴
新技术,"Sakai Project, Course Management System, Learning MS, Virtual Learning System - Wiki",-,Done,2013/5/24 9:32,2013/5/24 9:47,值得深入
新技术,Professional Alfresco - Content review,-,Done,2013/5/24 9:48,2013/5/24 9:54,脚本和框架有意思
新技术,Wireshark 101 Essential Skills for Network Analysis - Content review,-,Done,2013/5/24 9:55,2013/5/24 10:13,该学，也装了WS1.8
新技术,icl.cs.utk.edu/hpcc/software/index.html,-,Done,2013/5/24 13:06,2013/5/24 13:06,HPC测试
