书名,目标,页,状态,实际从,实际到,备注
C++程序设计特别版,2.6 面向对象的程序设计,33,Done,2013/5/24 14:43,2013/5/24 14:54,
C++程序设计特别版,2.6.1 具体类型的问题,33,Done,2013/5/24 14:54,2013/5/24 14:56,这个倒是好理解
C++程序设计特别版,2.6.2 类层次结构,34,Done,2013/5/24 14:57,2013/5/24 15:00,讲了个设计范型
C++程序设计特别版,2.7 通用型程序设计,36,Done,2013/5/24 15:01,2013/5/24 15:02,另一个设计范型
C++程序设计特别版,2.7.1 容器,36,Done,2013/5/24 15:02,2013/5/24 15:04,类模板，不太懂
C++程序设计特别版,2.7.2 通用型算法,37,Done,2013/5/24 15:04,2013/5/24 15:09,函数模板，不太懂
C++程序设计特别版,2.8 附言,38,Done,2013/5/24 15:14,2013/5/24 15:14,
C++程序设计特别版,2.9 忠告,39,Done,2013/5/24 15:14,2013/5/24 15:15,最后一句很有力
C++程序设计特别版,第3章 标准库概览,40,Process,,,
C++程序设计特别版,3.1 引言,40,,,,
C++程序设计特别版,"3.2 Hello, world!",41,,,,
C++程序设计特别版,3.3 标准库名字空间,41,,,,
C++程序设计特别版,3.4 输出,41,,,,
C++程序设计特别版,3.5 字符串,42,,,,
C++程序设计特别版,3.5.1 C风格的字符串,44,,,,
C++程序设计特别版,3.6 输入,44,,,,
C++程序设计特别版,3.7 容器,46,,,,
C++程序设计特别版,3.7.1 向量-vector,46,,,,
C++程序设计特别版,3.7.2 范围检查,47,,,,
C++程序设计特别版,3.7.3 表-list,48,,,,
C++程序设计特别版,3.7.4 映射-map,49,,,,
C++程序设计特别版,3.7.5 标准容器,49,,,,
C++程序设计特别版,3.8 算法,50,,,,
C++程序设计特别版,3.8.1 迭代器的使用,51,,,,
C++程序设计特别版,3.8.2 迭代器类型,52,,,,
C++程序设计特别版,3.8.3 迭代器和I/O,53,,,,
C++程序设计特别版,3.8.4 遍历和谓词,54,,,,
C++程序设计特别版,3.8.5 使用成员函数的算法,56,,,,
C++程序设计特别版,3.8.6 标准库算法,56,,,,
C++程序设计特别版,3.9 数学,57,,,,
C++程序设计特别版,3.9.1 复数,57,,,,
C++程序设计特别版,3.9.2 向量算术,57,,,,
C++程序设计特别版,3.9.3 基本数值支持,58,,,,
C++程序设计特别版,3.10 标准库功能,58,,,,
C++程序设计特别版,3.11 忠告,58,,,,
C++程序设计特别版,第4章 类型和声明,63,,,,
C++程序设计特别版,4.1 类型,63,,,,
C++程序设计特别版,4.1.1 基本类型,64,,,,
C++程序设计特别版,4.2 布尔量,64,,,,
C++程序设计特别版,4.3 字符类型,65,,,,
C++程序设计特别版,4.3.1 字符文字量,66,,,,
C++程序设计特别版,4.4 整数类型,66,,,,
C++程序设计特别版,4.4.1 整数文字量,66,,,,
C++程序设计特别版,4.5 浮点类型,67,,,,
C++程序设计特别版,4.5.1 浮点文字量,67,,,,
C++程序设计特别版,4.6 大小,68,,,,
C++程序设计特别版,4.7 void,69,,,,
C++程序设计特别版,4.8 枚举,69,,,,
C++程序设计特别版,4.9 声明,71,,,,
C++程序设计特别版,4.9.1 声明的结构,72,,,,
C++程序设计特别版,4.9.2 声明多个名字,73,,,,
C++程序设计特别版,4.9.3 名字,73,,,,
C++程序设计特别版,4.9.4 作用域,74,,,,
C++程序设计特别版,4.9.5 初始化,75,,,,
C++程序设计特别版,4.9.6 对象和左值,76,,,,
C++程序设计特别版,4.9.7 typedef,76,,,,
C++程序设计特别版,4.11 练习,77,,,,
C++程序设计特别版,第5章 指针、数组和结构,79,,,,
C++程序设计特别版,5.1 指针,79,,,,
C++程序设计特别版,5.1.1 零,80,,,,
C++程序设计特别版,5.2 数组,80,,,,
C++程序设计特别版,5.2.1 数组初始化,80,,,,
C++程序设计特别版,5.2.2 字符串文字量,81,,,,
C++程序设计特别版,5.3 到数组的指针,83,,,,
C++程序设计特别版,5.3.1 在数组里漫游,83,,,,
C++程序设计特别版,5.4 常量,85,,,,
C++程序设计特别版,5.4.1 指针和常量,87,,,,
C++程序设计特别版,5.5 引用,88,,,,
C++程序设计特别版,5.6 指向void的指针,90,,,,
C++程序设计特别版,5.7 结构,91,,,,
C++程序设计特别版,5.7.1 类型等价,94,,,,
C++程序设计特别版,5.8 忠告,94,,,,
C++程序设计特别版,5.9 练习,94,,,,
C++程序设计特别版,第6章 表达式和语句,96,,,,
C++程序设计特别版,6.1 一个桌面计算器,96,,,,
C++程序设计特别版,6.1.1 分析器,96,,,,
C++程序设计特别版,6.1.2 输入函数,100,,,,
C++程序设计特别版,6.1.3 低级输入,102,,,,
C++程序设计特别版,6.1.4 错误处理,103,,,,
C++程序设计特别版,6.1.5 驱动程序,104,,,,
C++程序设计特别版,6.1.6 头文件,104,,,,
C++程序设计特别版,6.1.7 命令行参数,105,,,,
C++程序设计特别版,6.1.8 有关风格的注记,106,,,,
C++程序设计特别版,6.2 运算符概览,107,,,,
C++程序设计特别版,6.2.1 结果,109,,,,
C++程序设计特别版,6.2.2 求值顺序,110,,,,
C++程序设计特别版,6.2.3 运算符优先级,110,,,,
C++程序设计特别版,6.2.4 按位逻辑运算符,111,,,,
C++程序设计特别版,6.2.5 增量和减量,112,,,,
C++程序设计特别版,6.2.6 自由存储,113,,,,
C++程序设计特别版,6.2.7 显示类型转换,116,,,,
C++程序设计特别版,6.2.8 构造函数,117,,,,
C++程序设计特别版,6.3 语句概览,118,,,,
C++程序设计特别版,6.3.1 声明作为语句,119,,,,
C++程序设计特别版,6.3.2 选择语句,119,,,,
C++程序设计特别版,6.3.3 迭代语句,122,,,,
C++程序设计特别版,6.3.4 goto,123,,,,
C++程序设计特别版,6.4 注释和缩进编排,123,,,,
C++程序设计特别版,6.5 忠告,125,,,,
C++程序设计特别版,6.6 练习,125,,,,
C++程序设计特别版,第7章 函数,128,,,,
C++程序设计特别版,7.1 函数声明,128,,,,
C++程序设计特别版,7.1.1 函数定义,128,,,,
C++程序设计特别版,7.1.2 静态变量,128,,,,
C++程序设计特别版,7.2 参数传递,130,,,,
C++程序设计特别版,7.2.1 数组参数,131,,,,
C++程序设计特别版,7.3 返回值,132,,,,
C++程序设计特别版,7.4 重载函数名,133,,,,
C++程序设计特别版,7.4.1 重载和返回类型,135,,,,
C++程序设计特别版,7.4.2 重载与作用域,135,,,,
C++程序设计特别版,7.4.3 手工的歧义性解析,135,,,,
C++程序设计特别版,7.4.4 多参数的解析,136,,,,
C++程序设计特别版,7.5 默认参数,137,,,,
C++程序设计特别版,7.6 未确定数目的参数,138,,,,
C++程序设计特别版,7.7 指向函数的指针,139,,,,
C++程序设计特别版,7.8 宏,143,,,,
C++程序设计特别版,7.8.1 条件编译,145,,,,
C++程序设计特别版,7.9 忠告,145,,,,
C++程序设计特别版,7.10 练习,146,,,,
C++程序设计特别版,第8章 名字空间和异常,148,,,,
C++程序设计特别版,8.1 模块化和界面,148,,,,
C++程序设计特别版,8.2 名字空间,150,,,,
C++程序设计特别版,8.2.1 带限定词的名字,151,,,,
C++程序设计特别版,8.2.2 使用声明,152,,,,
C++程序设计特别版,8.2.3 使用指令,153,,,,
C++程序设计特别版,8.2.4 多重界面,154,,,,
C++程序设计特别版,8.2.5 避免名字冲突,157,,,,
C++程序设计特别版,8.2.6 名字查找,159,,,,
C++程序设计特别版,8.2.7 名字空间别名,159,,,,
C++程序设计特别版,8.2.8 名字空间组合,160,,,,
C++程序设计特别版,8.2.9 名字空间和老代码,163,,,,
C++程序设计特别版,8.3 异常,166,,,,
C++程序设计特别版,8.3.1 抛出和捕捉,167,,,,
C++程序设计特别版,8.3.2 异常的辨识,168,,,,
C++程序设计特别版,8.3.3 在计算器中的异常,169,,,,
C++程序设计特别版,8.4 忠告,173,,,,
C++程序设计特别版,8.5 练习,173,,,,
C++程序设计特别版,第9章 源文件和程序,175,,,,
C++程序设计特别版,9.1 分别编译,175,,,,
C++程序设计特别版,9.2 连接,176,,,,
C++程序设计特别版,9.2.1 头文件,178,,,,
C++程序设计特别版,9.2.2 标准库头文件,179,,,,
C++程序设计特别版,9.2.3 单一定义规则,180,,,,
C++程序设计特别版,9.2.4 与非C++代码的连接,182,,,,
C++程序设计特别版,9.2.5 连接与指向函数的指针,184,,,,
C++程序设计特别版,9.3 使用头文件,184,,,,
C++程序设计特别版,9.3.1 单一头文件,184,,,,
C++程序设计特别版,9.3.2 多个头文件,187,,,,
C++程序设计特别版,9.3.3 包含保护符,191,,,,
C++程序设计特别版,9.4 程序,192,,,,
C++程序设计特别版,9.4.1 非局部变量的初始化,192,,,,
C++程序设计特别版,9.5 忠告,194,,,,
C++程序设计特别版,9.6 练习,194,,,,
C++程序设计特别版,第10章 类,199,,,,
C++程序设计特别版,10.1 引言,199,,,,
C++程序设计特别版,10.2 类,199,,,,
C++程序设计特别版,10.2.1 成员函数,200,,,,
C++程序设计特别版,10.2.2 访问控制,201,,,,
C++程序设计特别版,10.2.3 构造函数,202,,,,
C++程序设计特别版,10.2.4 静态成员,203,,,,
C++程序设计特别版,10.2.5 类对象的复制,204,,,,
C++程序设计特别版,10.2.6 常量成员函数,205,,,,
C++程序设计特别版,10.2.7 自引用,205,,,,
C++程序设计特别版,10.2.8 结构和类,208,,,,
C++程序设计特别版,10.2.9 在类内部的函数定义,210,,,,
C++程序设计特别版,10.3 高效的用户定义类型,210,,,,
C++程序设计特别版,10.3.1 成员函数,212,,,,
C++程序设计特别版,10.3.2 协助函数,214,,,,
C++程序设计特别版,10.3.3 重载的运算符,215,,,,
C++程序设计特别版,10.3.4 具体类型的意义,215,,,,
C++程序设计特别版,10.4 对象,216,,,,
C++程序设计特别版,10.4.1 析构函数,216,,,,
C++程序设计特别版,10.4.2 默认构造函数,217,,,,
C++程序设计特别版,10.4.3 构造和析构,218,,,,
C++程序设计特别版,10.4.4 局部变量,218,,,,
C++程序设计特别版,10.4.5 自由存储,220,,,,
C++程序设计特别版,10.4.6 类对象作为成员,221,,,,
C++程序设计特别版,10.4.7 数组,223,,,,
C++程序设计特别版,10.4.8 局部静态存储,224,,,,
C++程序设计特别版,10.4.9 非局部存储,225,,,,
C++程序设计特别版,10.4.10 临时对象,226,,,,
C++程序设计特别版,10.4.11 对象的放置,228,,,,
C++程序设计特别版,10.4.12 联合,229,,,,
C++程序设计特别版,10.5 忠告,230,,,,
C++程序设计特别版,10.3 练习,230,,,,
C++程序设计特别版,第11章 运算符重载,233,,,,
C++程序设计特别版,11.1 引言,233,,,,
C++程序设计特别版,11.2 运算符函数,234,,,,
C++程序设计特别版,11.2.1 二元和一元运算符,235,,,,
C++程序设计特别版,11.2.2 运算符的预定义意义,236,,,,
C++程序设计特别版,11.2.3 运算符和用户定义类型,236,,,,
C++程序设计特别版,11.2.4 名字空间里的运算符,237,,,,
C++程序设计特别版,11.3 一个复数类型,238,,,,
C++程序设计特别版,11.3.1 成员运算符和非成员运算符,238,,,,
C++程序设计特别版,11.3.2 混合模式算术,239,,,,
C++程序设计特别版,11.3.3 初始化,240,,,,
C++程序设计特别版,11.3.4 复制,241,,,,
C++程序设计特别版,11.3.5 构造函数和转换,242,,,,
C++程序设计特别版,11.3.6 文字量,243,,,,
C++程序设计特别版,11.3.7 另一些成员函数,244,,,,
C++程序设计特别版,11.4 转换运算符,245,,,,
C++程序设计特别版,11.4.1 歧义性,246,,,,
C++程序设计特别版,11.5 友元,248,,,,
C++程序设计特别版,11.5.1 友元的寻找,249,,,,
C++程序设计特别版,11.5.2 友元和成员,250,,,,
C++程序设计特别版,11.6 大型对象,251,,,,
C++程序设计特别版,11.7 基本运算符,253,,,,
C++程序设计特别版,11.7.1 显示构造函数,253,,,,
C++程序设计特别版,11.8 下标,255,,,,
C++程序设计特别版,11.9 函数调用,256,,,,
C++程序设计特别版,11.10 间接,257,,,,
C++程序设计特别版,11.12 一个字符串类,260,,,,
C++程序设计特别版,11.13 忠告,265,,,,
C++程序设计特别版,11.14 练习,265,,,,
C++程序设计特别版,第12章 派生类,268,,,,
C++程序设计特别版,12.1 引言,268,,,,
C++程序设计特别版,12.2 派生类,269,,,,
C++程序设计特别版,12.2.1 成员函数,271,,,,
C++程序设计特别版,12.2.2 构造函数和析构函数,272,,,,
C++程序设计特别版,12.2.3 复制,273,,,,
C++程序设计特别版,12.2.4 类层次结构,273,,,,
C++程序设计特别版,12.2.5 类型域,274,,,,
C++程序设计特别版,12.2.6 虚函数,276,,,,
C++程序设计特别版,12.3 抽象类,278,,,,
C++程序设计特别版,12.4 类层次结构的设计,280,,,,
C++程序设计特别版,12.4.1 一个传统的层次结构,280,,,,
C++程序设计特别版,12.4.2 抽象类,283,,,,
C++程序设计特别版,12.4.3 其他实现方式,285,,,,
C++程序设计特别版,12.4.4 对象创建的局部化,287,,,,
C++程序设计特别版,12.5 类层次结构和抽象类,289,,,,
C++程序设计特别版,12.6 忠告,289,,,,
C++程序设计特别版,12.7 练习,289,,,,
C++程序设计特别版,第13章 模板,292,,,,
C++程序设计特别版,13.1 引言,292,,,,
C++程序设计特别版,13.2 一个简单的string模板,293,,,,
C++程序设计特别版,13.2.1 定义一个模板,294,,,,
C++程序设计特别版,13.2.2 模板实例化,295,,,,
C++程序设计特别版,13.2.3 模板参数,296,,,,
C++程序设计特别版,13.2.4 类型等价,296,,,,
C++程序设计特别版,13.2.5 类型检查,297,,,,
C++程序设计特别版,13.3 函数模板,298,,,,
C++程序设计特别版,13.3.1 函数模板的参数,299,,,,
C++程序设计特别版,13.3.2 函数模板的重载,300,,,,
C++程序设计特别版,13.4 用模板参数描述策略,302,,,,
C++程序设计特别版,13.4.1 默认模板参数,303,,,,
C++程序设计特别版,13.5 专门化,304,,,,
C++程序设计特别版,13.5.1 专门化的顺序,306,,,,
C++程序设计特别版,13.5.2 模板函数的专门化,307,,,,
C++程序设计特别版,13.6 派生和模板,308,,,,
C++程序设计特别版,13.6.1 参数化和继承,309,,,,
C++程序设计特别版,13.6.2 成员模板,310,,,,
C++程序设计特别版,13.6.3 继承关系,311,,,,
C++程序设计特别版,13.7 源代码组织,312,,,,
C++程序设计特别版,13.8 忠告,314,,,,
C++程序设计特别版,13.9 练习,314,,,,
C++程序设计特别版,第14章 异常处理,316,,,,
C++程序设计特别版,14.1 错误处理,316,,,,
C++程序设计特别版,14.1.1 关于异常的其他观点,318,,,,
C++程序设计特别版,14.2 异常的结组,318,,,,
C++程序设计特别版,14.2.1 派生的异常,319,,,,
C++程序设计特别版,14.2.2 多个异常的组合,321,,,,
C++程序设计特别版,14.3 捕捉异常,321,,,,
C++程序设计特别版,14.3.1 重新抛出,322,,,,
C++程序设计特别版,14.3.2 捕捉所有异常,322,,,,
C++程序设计特别版,14.4 资源管理,324,,,,
C++程序设计特别版,14.4.1 构造函数和析构函数的使用,325,,,,
C++程序设计特别版,14.4.2 auto_prt,326,,,,
C++程序设计特别版,14.4.3 告诫,328,,,,
C++程序设计特别版,14.4.4 异常和new,328,,,,
C++程序设计特别版,14.4.5 资源耗尽,329,,,,
C++程序设计特别版,14.4.6 构造函数里的异常,331,,,,
C++程序设计特别版,14.4.7 析构函数里的异常,332,,,,
C++程序设计特别版,14.5 不是异常的错误,333,,,,
C++程序设计特别版,14.6 异常的描述,334,,,,
C++程序设计特别版,14.6.1 对异常描述的检查,335,,,,
C++程序设计特别版,14.6.2 未预期的异常,336,,,,
C++程序设计特别版,14.6.3 异常的映射,336,,,,
C++程序设计特别版,14.7 未捕捉的异常,338,,,,
C++程序设计特别版,14.8 异常和效率,339,,,,
C++程序设计特别版,14.9 处理错误的其他方式,340,,,,
C++程序设计特别版,14.10 标准异常,342,,,,
C++程序设计特别版,14.11 忠告,344,,,,
C++程序设计特别版,14.12 练习,344,,,,
C++程序设计特别版,第15章 类层次结构,346,,,,
C++程序设计特别版,15.1 引言和概述,346,,,,
C++程序设计特别版,15.2 多重继承,346,,,,
C++程序设计特别版,15.2.1 歧义性解析,348,,,,
C++程序设计特别版,15.2.2 继承和使用声明,349,,,,
C++程序设计特别版,15.2.3 重复的基类,350,,,,
C++程序设计特别版,15.2.4 虚基类,352,,,,
C++程序设计特别版,15.2.5 使用多重继承,354,,,,
C++程序设计特别版,15.3 访问控制,357,,,,
C++程序设计特别版,15.3.1 保护成员,359,,,,
C++程序设计特别版,15.3.2 对基类的访问,360,,,,
C++程序设计特别版,15.4 运行时类型信息,361,,,,
C++程序设计特别版,15.4.1 dynamic_cast,363,,,,
C++程序设计特别版,15.4.2 在类层次结构中漫游,365,,,,
C++程序设计特别版,15.4.3 类对象的构造和析构,367,,,,
C++程序设计特别版,15.4.4 typeid和扩展的类型信息,368,,,,
C++程序设计特别版,15.4.5 RTTI的使用和误用,370,,,,
C++程序设计特别版,15.5 指向成员的指针,371,,,,
C++程序设计特别版,15.5.1 基类的派生类,373,,,,
C++程序设计特别版,15.6 自由存储,374,,,,
C++程序设计特别版,15.6.1 数组分配,375,,,,
C++程序设计特别版,15.6.2 虚构造函数,376,,,,
C++程序设计特别版,15.7 忠告,377,,,,
C++程序设计特别版,15.8 练习,377,,,,
C++程序设计特别版,第16章 库组织和容器,381,,,,
C++程序设计特别版,16.1 标准库的设计,381,,,,
C++程序设计特别版,16.1.1 设计约束,382,,,,
C++程序设计特别版,16.1.2 标准库组织,383,,,,
C++程序设计特别版,16.1.3 语言支持,385,,,,
C++程序设计特别版,16.2 容器设计,386,,,,
C++程序设计特别版,16.2.1 专门化的容器和迭代器,386,,,,
C++程序设计特别版,16.2.2 有基类的容器,388,,,,
C++程序设计特别版,16.2.3 STL容器,391,,,,
C++程序设计特别版,16.3 向量,392,,,,
C++程序设计特别版,16.3.1 类型,393,,,,
C++程序设计特别版,16.3.2 迭代器,394,,,,
C++程序设计特别版,16.3.3 元素访问,395,,,,
C++程序设计特别版,16.3.4 构造函数,396,,,,
C++程序设计特别版,16.3.5 堆栈操作,399,,,,
C++程序设计特别版,16.3.6 表操作,401,,,,
C++程序设计特别版,16.3.7 元素定位,403,,,,
C++程序设计特别版,16.3.8 大小和容量,404,,,,
C++程序设计特别版,16.3.9 其他成员函数,406,,,,
C++程序设计特别版,16.3.10 协助函数,406,,,,
C++程序设计特别版,16.3.11 vector<bool>,407,,,,
C++程序设计特别版,16.4 忠告,407,,,,
C++程序设计特别版,16.5 练习,408,,,,
C++程序设计特别版,第17章 标准容器,409,,,,
C++程序设计特别版,17.1 标准容器,409,,,,
C++程序设计特别版,17.1.1 操作综述,409,,,,
C++程序设计特别版,17.1.2 容器综述,412,,,,
C++程序设计特别版,17.1.3 表示,413,,,,
C++程序设计特别版,17.1.4 对元素的要求,413,,,,
C++程序设计特别版,17.2 序列,416,,,,
C++程序设计特别版,17.2.1 向量-vector,416,,,,
C++程序设计特别版,17.2.2 表-list,416,,,,
C++程序设计特别版,17.2.3 双端队列-deque,420,,,,
C++程序设计特别版,17.3 序列适配器,421,,,,
C++程序设计特别版,17.3.1 堆栈-stack,421,,,,
C++程序设计特别版,17.3.2 队列-queue,422,,,,
C++程序设计特别版,17.3.3 优先队列-priority_queue,423,,,,
C++程序设计特别版,17.4 关联容器,425,,,,
C++程序设计特别版,17.4.1 映射-map,425,,,,
C++程序设计特别版,17.4.2 多重映射-multimap,433,,,,
C++程序设计特别版,17.4.3 集和-set,434,,,,
C++程序设计特别版,17.4.4 多重集和-multiset,435,,,,
C++程序设计特别版,17.5 拟容器,435,,,,
C++程序设计特别版,17.5.1 串-string,435,,,,
C++程序设计特别版,17.5.2 ,-,,,,
PHP与MySQL程序设计,第1章 PHP概述,1,Done,2013/4/18 0:00,2013/4/18 0:00,J-重新认知
PHP与MySQL程序设计,1.1 历史,2,Done,2013/4/18 0:00,2013/4/18 0:00,J-疯涨过程
PHP与MySQL程序设计,1.1.1 PHP4,2,Done,2013/4/18 0:00,2013/4/18 0:00,J-里程碑
PHP与MySQL程序设计,1.1.2 PHP5,3,Done,2013/4/18 0:00,2013/4/18 0:00,J-OOP加强，进入框架时代
PHP与MySQL程序设计,1.1.3 PHP6,4,Done,2013/4/18 0:00,2013/4/18 0:00,J-并不真新鲜
PHP与MySQL程序设计,1.2 一般语言特性,4,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,1.2.1 实用性,5,Done,2013/4/18 0:00,2013/4/18 0:00,紧凑，但类型松散
PHP与MySQL程序设计,1.2.2 强大功能,5,Done,2013/4/18 0:00,2013/4/18 0:00,功能强大
PHP与MySQL程序设计,1.2.3 可能性,5,Done,2013/4/18 0:00,2013/4/18 0:00,支持库多
PHP与MySQL程序设计,1.2.4 成本,6,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,1.3 小结,6,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,第2章 环境配置,7,Done,2013/4/18 0:00,2013/4/18 0:00,J-重新认知
PHP与MySQL程序设计,2.1 安装的前提条件,7,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,2.1.1 下载Apache,8,Done,2013/4/18 0:00,2013/4/18 0:00,用Apache 2
PHP与MySQL程序设计,2.1.2 下载PHP,8,Done,2013/4/18 0:00,2013/4/18 0:00,不要在Windows上编译
PHP与MySQL程序设计,2.1.3 获得文档,9,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,2.2 在Linux上安装Apache和PHP,9,Done,2013/4/18 0:00,2013/4/18 0:00,TODO-Lab
PHP与MySQL程序设计,2.3 在Windows上安装Apache和PHP,11,Done,2013/4/18 0:00,2013/4/18 0:00,TODO-Lab
PHP与MySQL程序设计,2.4 在Windows上安装IIS和PHP,12,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,2.4.1 安装IIS和PHP,13,Done,2013/4/18 0:00,2013/4/18 0:00,Easy
PHP与MySQL程序设计,2.4.2 配置FastCGI来管理PHP进程,13,Done,2013/4/18 0:00,2013/4/18 0:00,Easy
PHP与MySQL程序设计,2.5 测试安装,14,Done,2013/4/18 0:00,2013/4/18 0:00,Easy
PHP与MySQL程序设计,2.6 配置PHP,16,Done,2013/4/18 0:00,2013/4/18 0:00,没什么
PHP与MySQL程序设计,2.6.1 在Linux上构建时配置PHP,16,Done,2013/4/18 0:00,2013/4/18 0:00,要避免误解
PHP与MySQL程序设计,2.6.2 定制Windows构建,16,Done,2013/4/18 0:00,2013/4/18 0:00,extension=…
PHP与MySQL程序设计,2.7 运行时配置,16,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,2.7.1 管理PHP的配置指令,17,Done,2013/4/18 0:00,2013/4/18 0:00,TODO-Lab
PHP与MySQL程序设计,2.7.2 PHP的配置指令,18,Done,2013/4/18 0:00,2013/4/18 0:00,应放附录，待逐一确认
PHP与MySQL程序设计,2.8 选择代码编辑器,29,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,2.8.1 Adobe Dreamweaver CS3,29,Done,2013/4/18 0:00,2013/4/18 0:00,NO
PHP与MySQL程序设计,2.8.2 Notepad++,30,Done,2013/4/18 0:00,2013/4/18 0:00,Yeah
PHP与MySQL程序设计,2.8.3 PDT,30,Done,2013/4/18 0:00,2013/4/18 0:00,Think it
PHP与MySQL程序设计,2.8.4 Zend Studio,30,Done,2013/4/18 0:00,2013/4/18 0:00,Cool
PHP与MySQL程序设计,2.9 选择Web托管服务提供商,31,Done,2013/4/18 0:00,2013/4/18 0:00,有些已经改变
PHP与MySQL程序设计,2.10 小结,32,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,第3章 PHP基础,33,Process,2013/4/18 0:00,,J-重新认知
PHP与MySQL程序设计,3.1 在Web页面中嵌入PHP代码,33,Done,2013/4/18 0:00,2013/4/18 0:00,4种语法
PHP与MySQL程序设计,3.1.1 默认语法,33,Done,2013/4/18 0:00,2013/4/18 0:00,最常见
PHP与MySQL程序设计,3.1.2 短标记,34,Done,2013/4/18 0:00,2013/4/18 0:00,不常用-J-不见得
PHP与MySQL程序设计,3.1.3 脚本,34,Done,2013/4/18 0:00,2013/4/18 0:00,这个不常见
PHP与MySQL程序设计,3.1.4 ASP风格,35,Done,2013/4/18 0:00,2013/4/18 0:00,J-需Apache支持
